country,precipitation
Indonesia,3506.876
Brunei,3369.9229
Malaysia,3160.4644
Philippines,3117.8364
East Timor,2112.871
Vietnam,2075.221
Myanmar,2067.3928
Laos,1848.1522
Cambodia,1828.9294
Thailand,1728.956
