country,precipitation
Malaysia,3155.8706
Brunei,3074.6006
Philippines,3006.4756
Indonesia,2951.8508
Myanmar,2058.5908
Cambodia,1934.2399
Vietnam,1920.7397
Laos,1817.6981
East Timor,1526.1194
Thailand,1520.2158
