country,precipitation
Indonesia,3567.102
Brunei,3383.2502
Malaysia,3333.5098
Philippines,3018.6257
Myanmar,2382.629
Vietnam,2201.1777
East Timor,2110.3162
Laos,1899.1814
Cambodia,1724.3623
Thailand,1553.0808
