country,precipitation
Brunei,3340.0527
Cambodia,1858.18832
East Timor,1918.1853800000001
Indonesia,3442.41484
Laos,1872.4819
Malaysia,3247.56196
Myanmar,2139.95768
Philippines,3057.73522
Thailand,1630.27798
Vietnam,2115.74262
