country,precipitation
Brunei,3712.3638
Indonesia,3572.854
Malaysia,3444.339
Philippines,3267.4504
Vietnam,2236.6235
Cambodia,2152.062
East Timor,2142.8586
Myanmar,2106.4734
Laos,2060.0674
Thailand,1849.6667
